Numero;Description;Speakers
1;"Cuando se habla de tecnolog¡as de bajo c¢digo, Microsoft pone a disposici¢n de las organizaciones la Power Platform como herramienta para el desarrollo r pido de soluciones empresariales.

Pero, ¨qu‚ hay realmente detr s de todo esto? Como habr s adivinado, ­todo se ejecuta en Azure! 

Esto permite una integraci¢n perfecta entre los componentes de Power Platform y los servicios de Azure. Veremos como ejemplo, la integraci¢n de API Management y bases de datos Azure SQL.

Acomp ¤ame a descubrir esta fusi¢n y todas las posibilidades que nos ofrecen estas dos plataformas.";Eickhel Mendoza, David Rodriguez
2;"En esta sesi¢n aprender s como integrar modelos LLM en tu aplicaci¢n .NET, utilizando open-source Semantic Kernel SDK. Sin ser un experto en ""Generative AI"", Semantic Kernel te permite crear Plugins, crear funciones sem nticas para trabajar m s r pido a trav‚s de plantillas de prompts, y dotar de contexto y tus datos a LLM a trav‚s de la creaci¢n de memorias. No te pierdas esta sesi¢n para descubrir nuestros consejos a la hora de construir tu aplicaci¢n con ""Generative AI"" con Semantic Kernel. ";Luis Ma¤ez, Olga Mart¡
3;Mostrar‚ al asistente 15 o 20 procesos de hacking a distintos servicios de Azure;Joaquin Molina
4;¨Quieres saber que es Confidential Computing? En esta sesi¢n os desvelo de que se trata acompa¤ado con unos ejemplos pr cticos en Azure. Bienvenidos a la nueva era de la seguridad cloud.;Jose Maria Flores Zazo
5;en esta charla vamos a hablar de ¨Que es Azure Stack HCI? beneficios, uso  implementaci¢n gestion y monitoreo;David Rivera Fernandez
6;"En esta charla voy a explicar qu‚ hay que tener en cuenta cuando necesitas montar desde el punto de vista DevOps, el ciclo de vida de Azure Logic App en un Entorno private dentro de azure, donde se consumir n recursos de forma privada.

Azure DevOps -> logic App repositorio -> Azure Pipelines -> Deploy Infra [env] -> deploy Logic App [env] -> Promote Logic to Preprod -> to Prod.

Desde un punto de vista donde hay equipos que mantienen PROD, pero no tienen conocimientos de avanzados devops, montar este setup y mostrarles que haciendo un commit pueden promocionar ese cambio hecho en DEV, a Producci¢n sin tener que entrar en Producci¢n para modificar c¢digo.";Aldo de Feo
7;En este 2024 veremos como la explicabilidad, la autorregulaci¢n y la ‚tica en la generaci¢n de contenidos sint‚ticos cobra una especial importancia. En esta charla revisaremos los principales mecanismos de convivencia entre la normativa, los valores de la sociedad y las alucinaciones de las IAs generativas.;David Fern ndez de Frutos, David Carrasco
8;¨Alguna vez te has enfrentado a un informe con datos que no entiendes? ¨Tus informes incluyen m‚tricas que tus usuarios no saben que significan? Descubre como dar contexto a tus datos y hacerlos m s entendibles a los usuarios de tus informes de Business Intelligence gracias al nuevo servicio de Azure Open AI.;Ivan Arribas
9;"Balanceo Multiregion ""LZ"" mediante la nueva solucion ""Azure cross-region Load Balancer""";Mario Cabrero
10;Sesi¢n centrada en Azure Databricks y su integracion con Power BI para sacar el maximo partido a tus datos.;Julio Granados
11;"Seguramente has trabajado con Docker y te has encontrado con la necesidad de ejecutar m s de un container a la vez y has usado docker-compose. Tal vez hayas trabajado con Kubernetes si tu sistema es algo m s complicado y tiene muchos servicios, configuraciones, y dem s. Todo esto est  muy bien pero plantea otros desaf¡os, por ejemplo, c¢mo gestionar la cantidad de yamls de deployment, services, configmaps, ingress, etc. de un sistema m s o menos grande. M s a£n si necesitamos cambiar alg£n par metro entre entornos.
Para esto existe Helm, que permite empaquetar un sistema con todos sus objetos de Kubernetes en un £nico objeto, y adem s gestionar par metros en tiempo de deploy, como versiones de im genes, connection string. etc.
En esta charla veremos qu‚ es Helm, c¢mo puede ayudarnos para instalar aplicaciones de terceros muy f cilmente como un todo, y c¢mo puede ayudarnos con nuestras aplicaciones a gestionar gran parte de la complejidad de los manifest de Kubernetes.";Leonardo Micheloni
